County,Total Capacity (MW),Unique Technologies,Unique Energy Sources,City,Plant Name,Plant Type,Flood Risk,Wind Vulnerability,Coastal Proximity,Historical Outages,Population 2023
Manatee,11343.3,6.0,4.0,"Parrish, Bradenton, Myakka City","Manatee, Tropicana Products Bradent, Willow Solar Energy Center","Natural Gas Steam Turbine, Natural Gas Fired Combustion Turbine, Solar Photovoltaic",Low,Low,No,Unknown,1323285.0
Marion,2.4,1.0,1.0,Ocala,G2 Energy Marion LLC,Landfill Gas,Low,Low,No,Unknown,409959.0
Martin,5046.0,2.0,2.0,"Indiantown, North of Indiantown","Martin, Sweetbay Solar Center","Natural Gas Fired Combined Cycle, Solar Photovoltaic",Low,Low,No,Unknown,326630.0
Miami Dade,6141.8,7.0,6.0,"Miami, Homestead","Cutler, Turkey Point",Nuclear,"High, Low","High, Low","Yes, No",Unknown,0.0
Monroe,550.0,1.0,1.0,"Big Pine Key, Marathon, Cudjoe Key, Stock Island","Big Pine, Marathon Generating Plant, Cudjoe, Stock Island",Petroleum Liquids,"High, Low",Low,"Yes, No",Unknown,322456.0
Nassau,470.0,3.0,4.0,"Fernandina Beach, Callahan","Fernandina Beach Mill, Nassau Solar Center","Wood/Wood Waste Biomass, Solar Photovoltaic","High, Low",Low,"Yes, No",Unknown,203002.0
Okaloosa,60.0,1.0,1.0,"Valparaiso, Holt","Gulf Coast Solar Center I, Canoe",Solar Photovoltaic,Low,Low,No,Unknown,436928.0
Okeechobee,2021.1,2.0,2.0,Okeechobee,Okeechobee Clean Energy Center,Natural Gas Fired Combined Cycle,Low,Low,No,Unknown,41427.0
Orange,9168.0,4.0,4.0,"Orlando, Rio Pinar, Lake Buena Vista, Bay Lake","Stanton Energy Center, Rio Pinar, Central Energy Plant, Citrus Ridge Solar","Conventional Steam Coal, Natural Gas Fired Combined Cycle, Solar Photovoltaic",Low,Low,No,Unknown,5885664.0
Osceola,12856.0,5.0,4.0,"Kissimmee, St. Cloud, Intercession City, Kenansville, Saint Cloud","Hansel, St Cloud, Cane Island, Osceola Solar Facility, Storey Bend Solar","Natural Gas Fired Combustion Turbine, Solar Photovoltaic",Low,Low,No,Unknown,2188920.0
Ozaukee,7.5,1.0,1.0,Cedarburg,"Jackson Solar WI, LLC",Solar Photovoltaic,Low,Low,No,Unknown,0.0
Palm Beach,42650.3,6.0,5.0,"Riviera Beach, Lake Worth, West Palm Beach, Bryant, South Bay, Loxahatchee, Westlake","Riviera, Tom G Smith, Palm Beach Renewable Energy Facility 1, Bryant Sugar House, Okeelanta Cogeneration, West County Energy Center, Hibiscus Solar Energy Center","Natural Gas Fired Combined Cycle, Petroleum Liquids, Municipal Solid Waste, Other Waste Biomass, Solar Photovoltaic","Low, High","Low, High","No, Yes",Unknown,10736607.0
Pasco,9047.0,4.0,3.0,"Holiday, Spring Hill, Shady Hills, Dade City, Zephyrhills","Anclote, Pasco Cnty Solid Waste Resource Recovery, Shady Hills Generating Station, Mountain View Solar (FL), Juniper Solar (FL)","Natural Gas Steam Turbine, Municipal Solid Waste, Natural Gas Fired Combustion Turbine, Solar Photovoltaic",Low,Low,No,Unknown,3164980.0
Pinellas,5352.3,6.0,5.0,"St. Petersburg, Oldsmar, St Petersburg","Bayboro, Higgins, John Hopkins Middle School Microgrid","Petroleum Liquids, Batteries","High, Low",Low,"Yes, No",Unknown,2884788.0
Polk,52453.6,5.0,4.0,"Lakeland, Mulberry, Bartow, Ft. Meade, Auburndale, Lake Wales, Winter Haven, Fort Meade","Larsen Memorial, Polk, Hines Energy Complex, Tiger Bay, Cutrale Citrus Juices USA II, Florida's Natural Growers, Legoland Solar, OE_FL10","Natural Gas Fired Combustion Turbine, Natural Gas Fired Combined Cycle, Solar Photovoltaic",Low,Low,No,Unknown,6546640.0
Putnam,15929.2,4.0,4.0,"Palatka, East Palatka, Hawthorne, Florahome, Interlachen, Putnam, San Mateo","Seminole (FL), Putnam, Horizon Solar Energy Center, Coral Farms Solar Energy Center, Twin Lakes, OE_FL7, Tupelo Solar","Conventional Steam Coal, Solar Photovoltaic","High, Low",Low,"Yes, No",Unknown,531685.0
Santa Rosa,1612.4,3.0,2.0,"Pace, Navarre, Milton, TBD","Pea Ridge, Gulf Coast Solar Center II, Blackwater River Solar Energy Center, Big Juniper Solar","Natural Gas Fired Combustion Turbine, Solar Photovoltaic",Low,Low,No,Unknown,812648.0
Sarasota,6.4,1.0,1.0,Nokomis,Sarasota County LFGTE Facility,Landfill Gas,Low,Low,No,Unknown,469013.0
Seminole,12.6,2.0,2.0,"Geneva, Altamonte Springs","Seminole Energy, Altamonte Mall","Landfill Gas, Solar Photovoltaic",Low,Low,No,Unknown,968542.0
St Johns,74.5,1.0,1.0,Elkton,Trailside Solar Center,Solar Photovoltaic,Low,Low,No,Unknown,0.0
St Lucie,18110.4,3.0,3.0,"Ft. Pierce, Jensen Beach, Port St. Lucie, Port St Lucie, Fort Pierce, Ft. Pierce   ","Henry D King, St Lucie, Loggerhead Solar Energy Center, Sundew, Buttonwood, Orchard","Nuclear, Solar Photovoltaic","Low, High",Low,"No, Yes",Unknown,0.0
Suwannee,771.8,4.0,4.0,"Live Oak, O'Brien","Suwannee River, Hildreth Solar Power Plant","Natural Gas Fired Combustion Turbine, Solar Photovoltaic",Low,Low,No,Unknown,92260.0
Taylor,5.1,1.0,1.0,Perry,Buckeye Florida LP,,Low,Low,No,Unknown,21582.0
Union,74.5,1.0,1.0,Lake Butler,Union Springs Solar Center,Solar Photovoltaic,Low,Low,No,Unknown,15532.0
Volusia,13297.6,4.0,3.0,"DeBary, Enterprise, New Smyrna Beach, Daytona Beach","Sanford, G E Turner, Smith Street, Daytona International Speedway Solar","Natural Gas Fired Combined Cycle, Solar Photovoltaic","Low, High","Low, High","No, Yes",Unknown,2361428.0
Wakulla,270.1,1.0,1.0,St Marks,S O Purdom,Natural Gas Fired Combined Cycle,Low,Low,No,Unknown,36449.0
Walton,149.0,1.0,1.0,"Eglin AFB, Defuniak Springs","Portland (FL), Chautauqua Solar Energy Center",Solar Photovoltaic,Low,Low,No,Unknown,172708.0
Washington,74.5,1.0,1.0,Vernon,FPL Cypress Pond Solar,Solar Photovoltaic,Low,Low,No,Unknown,25602.0
